block_time_day,market_count
2025-01-10T00:00:00.000000,342
2024-10-08T00:00:00.000000,247
2024-05-13T00:00:00.000000,83
2024-05-31T00:00:00.000000,87
2025-01-28T00:00:00.000000,360
2024-06-29T00:00:00.000000,126
2024-09-20T00:00:00.000000,212
2024-12-12T00:00:00.000000,307
2024-04-14T00:00:00.000000,61
2024-11-06T00:00:00.000000,267
2024-08-04T00:00:00.000000,156
2025-02-15T00:00:00.000000,383
2024-11-24T00:00:00.000000,293
2024-10-26T00:00:00.000000,256
2025-04-21T00:00:00.000000,484
2025-03-05T00:00:00.000000,416
2024-04-25T00:00:00.000000,71
2024-01-04T00:00:00.000000,1
2024-07-17T00:00:00.000000,140
2024-02-20T00:00:00.000000,23
2025-04-03T00:00:00.000000,460
2024-03-27T00:00:00.000000,48
2024-06-18T00:00:00.000000,102
2024-02-09T00:00:00.000000,21
2025-03-16T00:00:00.000000,444
2024-08-22T00:00:00.000000,174
2024-03-09T00:00:00.000000,25
2024-09-02T00:00:00.000000,185
2024-02-02T00:00:00.000000,12
2024-12-30T00:00:00.000000,323
2024-01-22T00:00:00.000000,7
2025-03-09T00:00:00.000000,427
2024-12-23T00:00:00.000000,318
2024-01-26T00:00:00.000000,7
2024-11-17T00:00:00.000000,283
2024-05-24T00:00:00.000000,85
2025-02-08T00:00:00.000000,381
2024-02-13T00:00:00.000000,22
2025-01-21T00:00:00.000000,350
2024-03-20T00:00:00.000000,47
2024-10-30T00:00:00.000000,259
2025-04-14T00:00:00.000000,474
2024-10-19T00:00:00.000000,252
2024-03-02T00:00:00.000000,25
2024-12-05T00:00:00.000000,300
2024-07-28T00:00:00.000000,152
2025-01-03T00:00:00.000000,328
2024-05-06T00:00:00.000000,73
2024-04-18T00:00:00.000000,63
2025-02-26T00:00:00.000000,409
2024-06-11T00:00:00.000000,94
2024-08-26T00:00:00.000000,177
2024-04-07T00:00:00.000000,52
2024-09-13T00:00:00.000000,204
2024-10-01T00:00:00.000000,228
2024-07-10T00:00:00.000000,140
2024-06-22T00:00:00.000000,121
2024-08-15T00:00:00.000000,168
2025-03-27T00:00:00.000000,448
2024-01-15T00:00:00.000000,3
2025-04-25T00:00:00.000000,495
2024-09-06T00:00:00.000000,192
2024-08-08T00:00:00.000000,164
2024-11-10T00:00:00.000000,279
2024-01-19T00:00:00.000000,3
2024-07-21T00:00:00.000000,142
2024-07-03T00:00:00.000000,135
2025-03-02T00:00:00.000000,412
2024-08-19T00:00:00.000000,169
2024-10-23T00:00:00.000000,255
2024-12-27T00:00:00.000000,322
2024-11-28T00:00:00.000000,295
2024-02-24T00:00:00.000000,24
2024-02-06T00:00:00.000000,20
2025-01-14T00:00:00.000000,346
2024-04-11T00:00:00.000000,55
2025-04-07T00:00:00.000000,463
2024-10-12T00:00:00.000000,247
2024-03-31T00:00:00.000000,50
2025-03-20T00:00:00.000000,444
2024-05-17T00:00:00.000000,83
2024-12-16T00:00:00.000000,309
2024-04-29T00:00:00.000000,72
2024-03-24T00:00:00.000000,48
2024-03-13T00:00:00.000000,30
2024-01-08T00:00:00.000000,2
2025-02-19T00:00:00.000000,390
2025-02-01T00:00:00.000000,369
2024-06-15T00:00:00.000000,102
2024-06-04T00:00:00.000000,88
2024-09-24T00:00:00.000000,218
2024-06-26T00:00:00.000000,122
2024-05-28T00:00:00.000000,85
2024-05-21T00:00:00.000000,83
2024-07-14T00:00:00.000000,139
2024-02-17T00:00:00.000000,23
2025-04-18T00:00:00.000000,483
2024-12-09T00:00:00.000000,304
2024-12-20T00:00:00.000000,314
2024-09-17T00:00:00.000000,209
2025-03-31T00:00:00.000000,453
2024-01-12T00:00:00.000000,3
2025-02-23T00:00:00.000000,406
2024-08-12T00:00:00.000000,167
2024-11-03T00:00:00.000000,267
2024-10-16T00:00:00.000000,251
2024-08-30T00:00:00.000000,184
2024-06-08T00:00:00.000000,89
2025-03-13T00:00:00.000000,438
2025-01-25T00:00:00.000000,359
2024-05-10T00:00:00.000000,83
2024-08-01T00:00:00.000000,156
2024-04-22T00:00:00.000000,68
2024-01-30T00:00:00.000000,8
2024-04-04T00:00:00.000000,52
2025-02-12T00:00:00.000000,380
2024-03-17T00:00:00.000000,47
2024-10-05T00:00:00.000000,238
2025-01-07T00:00:00.000000,334
2024-11-21T00:00:00.000000,291
2024-03-06T00:00:00.000000,25
2024-04-15T00:00:00.000000,62
2024-08-23T00:00:00.000000,175
2024-07-07T00:00:00.000000,139
2024-06-01T00:00:00.000000,88
2024-09-28T00:00:00.000000,227
2024-01-05T00:00:00.000000,1
2025-04-22T00:00:00.000000,486
2024-06-19T00:00:00.000000,103
2024-12-13T00:00:00.000000,308
2024-10-09T00:00:00.000000,247
2024-12-31T00:00:00.000000,323
2025-03-24T00:00:00.000000,448
2024-07-18T00:00:00.000000,142
2024-05-14T00:00:00.000000,83
2024-08-05T00:00:00.000000,156
2024-07-25T00:00:00.000000,152
2025-03-06T00:00:00.000000,417
2024-09-10T00:00:00.000000,196
2025-04-11T00:00:00.000000,470
2024-05-03T00:00:00.000000,73
2024-03-28T00:00:00.000000,48
2024-12-02T00:00:00.000000,299
2024-11-14T00:00:00.000000,283
2025-01-18T00:00:00.000000,350
2025-02-05T00:00:00.000000,371
2024-02-10T00:00:00.000000,21
2024-10-27T00:00:00.000000,256
2024-02-28T00:00:00.000000,25
2025-02-16T00:00:00.000000,383
2024-03-10T00:00:00.000000,29
2024-01-23T00:00:00.000000,7
2024-12-06T00:00:00.000000,301
2024-05-07T00:00:00.000000,74
2024-09-14T00:00:00.000000,206
2024-03-21T00:00:00.000000,47
2025-01-11T00:00:00.000000,343
2024-07-11T00:00:00.000000,139
2024-01-16T00:00:00.000000,3
2024-02-03T00:00:00.000000,12
2024-11-25T00:00:00.000000,293
2025-02-27T00:00:00.000000,409
2024-06-12T00:00:00.000000,98
2025-04-04T00:00:00.000000,460
2024-09-21T00:00:00.000000,213
2024-03-03T00:00:00.000000,25
2024-02-21T00:00:00.000000,24
2024-10-20T00:00:00.000000,251
2025-03-17T00:00:00.000000,444
2025-02-09T00:00:00.000000,381
2024-12-24T00:00:00.000000,318
2025-04-15T00:00:00.000000,476
2024-10-02T00:00:00.000000,229
2024-07-29T00:00:00.000000,152
2024-11-07T00:00:00.000000,267
